rank,docket,application,receipt,receipt_date,title,disorder,active_pair,inventor,market,upfront,milestones,royalty,assignment,risk,doi_url,zenodo_url,github_url,paper_status,patent_status
11,MHMDCNS-011,Awaiting confirmation,Awaiting USPTO/EBC confirmation,Awaiting confirmation,Pharmaceutical compositions and methods of treating Posttraumatic Stress Disorder with a combination of crinecerfont and silodosin,Posttraumatic Stress Disorder,crinecerfont + silodosin,Daniel Jerome Broz,Large tier; ~$3B estimated annual market,$1.5-4M,$100-250M,2-4.5%,$15-50M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609299,https://zenodo.org/records/20609299,https://github.com/danbroz/Med-discovery-public/tree/main/posttraumatic_stress_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
12,MHMDCNS-012,"64/076,299",76742452,05/28/2026,Pharmaceutical compositions and methods of treating Autism Spectrum Disorder with a combination of oxytocin and pitolisant,Autism Spectrum Disorder,oxytocin + pitolisant,Daniel Jerome Broz,Large tier; ~$3B estimated annual market,$1.5-4M,$100-250M,2-4.5%,$15-50M,High pediatric/safety risk,https://doi.org/10.5281/zenodo.20609301,https://zenodo.org/records/20609301,https://github.com/danbroz/Med-discovery-public/tree/main/autism_spectrum_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
13,MHMDCNS-013,"64/076,301",76742431,05/28/2026,Pharmaceutical compositions and methods of treating Narcolepsy with a combination of pitolisant and Nag 26,Narcolepsy,pitolisant + Nag 26,Daniel Jerome Broz,Large tier; ~$3B estimated annual market,$1.5-4M,$100-250M,2-4.5%,$15-50M,Sleep/CNS endpoint risk,https://doi.org/10.5281/zenodo.20609305,https://zenodo.org/records/20609305,https://github.com/danbroz/Med-discovery-public/tree/main/narcolepsy,DOI-indexed Zenodo preprint,US provisional patent pending
14,MHMDCNS-014,"64/076,302",76742590,05/28/2026,Pharmaceutical compositions and methods of treating Obsessive Compulsive Disorder with a combination of pimavanserin and vilazodone,Obsessive Compulsive Disorder,pimavanserin + vilazodone,Daniel Jerome Broz,Large tier; ~$2B est. market,$0.75-2.5M,$60-160M,1.5-3.5%,$8-30M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609307,https://zenodo.org/records/20609307,https://github.com/danbroz/Med-discovery-public/tree/main/obsessive_compulsive_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
15,MHMDCNS-015,"64/076,304",76742593,05/28/2026,Pharmaceutical compositions and methods of treating Persistent Depressive Disorder with a combination of agomelatine and vilazodone,Persistent Depressive Disorder,agomelatine + vilazodone,Daniel Jerome Broz,Large tier; ~$2B est. market,$0.75-2.5M,$60-160M,1.5-3.5%,$8-30M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609309,https://zenodo.org/records/20609309,https://github.com/danbroz/Med-discovery-public/tree/main/persistent_depressive_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
16,MHMDCNS-016,"64/076,305",76742730,05/28/2026,Pharmaceutical compositions and methods of treating Panic Disorder with a combination of vilazodone and betaxolol,Panic Disorder,vilazodone + betaxolol,Daniel Jerome Broz,Large tier; ~$2B est. market,$0.75-2.5M,$60-160M,1.5-3.5%,$8-30M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609311,https://zenodo.org/records/20609311,https://github.com/danbroz/Med-discovery-public/tree/main/panic_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
17,MHMDCNS-017,"64/076,307",76742672,05/28/2026,Pharmaceutical compositions and methods of treating Social Anxiety Disorder with a combination of vilazodone and agomelatine,Social Anxiety Disorder,vilazodone + agomelatine,Daniel Jerome Broz,Large tier; ~$1.5B est. market,$0.75-2.5M,$60-160M,1.5-3.5%,$8-30M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609313,https://zenodo.org/records/20609313,https://github.com/danbroz/Med-discovery-public/tree/main/social_anxiety_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
18,MHMDCNS-018,"64/076,308",76742790,05/28/2026,Pharmaceutical compositions and methods of treating Binge Eating Disorder with a combination of setmelanotide and vilazodone,Binge Eating Disorder,setmelanotide + vilazodone,Daniel Jerome Broz,Large tier; ~$1.5B est. market,$0.75-2.5M,$60-160M,1.5-3.5%,$8-30M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609315,https://zenodo.org/records/20609315,https://github.com/danbroz/Med-discovery-public/tree/main/binge_eating_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
19,MHMDCNS-019,"64/076,309",76742870,05/28/2026,Pharmaceutical compositions and methods of treating Restless Legs Syndrome with a combination of suvorexant and agomelatine,Restless Legs Syndrome,suvorexant + agomelatine,Daniel Jerome Broz,Large tier; ~$1B est. market,$0.75-2.5M,$60-160M,1.5-3.5%,$8-30M,Sleep/CNS endpoint risk,https://doi.org/10.5281/zenodo.20609317,https://zenodo.org/records/20609317,https://github.com/danbroz/Med-discovery-public/tree/main/restless_legs_syndrome,DOI-indexed Zenodo preprint,US provisional patent pending
20,MHMDCNS-020,"64/076,310",76742754,05/28/2026,Pharmaceutical compositions and methods of treating Obstructive Sleep Apnea Hypopnea with a combination of suvorexant and agomelatine,Obstructive Sleep Apnea Hypopnea,suvorexant + agomelatine,Daniel Jerome Broz,Large tier; ~$1B Rx adjunct est. market,$0.75-2.5M,$60-160M,1.5-3.5%,$8-30M,Sleep/CNS endpoint risk,https://doi.org/10.5281/zenodo.20609319,https://zenodo.org/records/20609319,https://github.com/danbroz/Med-discovery-public/tree/main/obstructive_sleep_apnea_hypopnea,DOI-indexed Zenodo preprint,US provisional patent pending
21,MHMDCNS-021,"64/076,311",76742972,05/28/2026,Pharmaceutical compositions and methods of treating Vascular Neurocognitive Disorder with a combination of pitolisant and xanomeline,Vascular Neurocognitive Disorder,pitolisant + xanomeline,Daniel Jerome Broz,Large tier; ~$1B est. market,$0.75-2.5M,$60-160M,1.5-3.5%,$8-30M,High neuro/FDA endpoint risk,https://doi.org/10.5281/zenodo.20609321,https://zenodo.org/records/20609321,https://github.com/danbroz/Med-discovery-public/tree/main/vascular_neurocognitive_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
22,MHMDCNS-022,"64/076,313",76743030,05/28/2026,Pharmaceutical compositions and methods of treating Lewy Body Disease with a combination of pitolisant and xanomeline,Lewy Body Disease,pitolisant + xanomeline,Daniel Jerome Broz,Large tier; ~$1B est. market,$0.75-2.5M,$60-160M,1.5-3.5%,$8-30M,High neuro/FDA endpoint risk,https://doi.org/10.5281/zenodo.20609323,https://zenodo.org/records/20609323,https://github.com/danbroz/Med-discovery-public/tree/main/lewy_body_disease,DOI-indexed Zenodo preprint,US provisional patent pending
23,MHMDCNS-023,"64/076,315",76743070,05/28/2026,Pharmaceutical compositions and methods of treating Schizoaffective Disorder with a combination of xanomeline and perospirone,Schizoaffective Disorder,xanomeline + perospirone,Daniel Jerome Broz,Mid tier; ~$1B est. market,$0.75-2.5M,$60-160M,1.5-3.5%,$8-30M,High psychiatry trial risk,https://doi.org/10.5281/zenodo.20609325,https://zenodo.org/records/20609325,https://github.com/danbroz/Med-discovery-public/tree/main/schizoaffective_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
24,MHMDCNS-024,"64/076,319",76742976,05/28/2026,Pharmaceutical compositions and methods of treating Premenstrual Dysphoric Disorder with a combination of agomelatine and vilazodone,Premenstrual Dysphoric Disorder,agomelatine + vilazodone,Daniel Jerome Broz,Mid tier; ~$700M est. market,$0.4-1.5M,$35-100M,1-3%,$5-18M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609327,https://zenodo.org/records/20609327,https://github.com/danbroz/Med-discovery-public/tree/main/premenstrual_dysphoric_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
25,MHMDCNS-025,"64/076,320",76743170,05/28/2026,Pharmaceutical compositions and methods of treating Adjustment Disorder with a combination of agomelatine and vilazodone,Adjustment Disorder,agomelatine + vilazodone,Daniel Jerome Broz,Mid tier; ~$700M est. market,$0.4-1.5M,$35-100M,1-3%,$5-18M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609329,https://zenodo.org/records/20609329,https://github.com/danbroz/Med-discovery-public/tree/main/adjustment_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
26,MHMDCNS-026,"64/076,322",76743230,05/28/2026,Pharmaceutical compositions and methods of treating Opioid Withdrawal with a combination of sufentanil and oxymetazoline,Opioid Withdrawal,sufentanil + oxymetazoline,Daniel Jerome Broz,Mid tier; ~$700M est. market,$0.4-1.5M,$35-100M,1-3%,$5-18M,High controlled-substance/FDA safety risk,https://doi.org/10.5281/zenodo.20609331,https://zenodo.org/records/20609331,https://github.com/danbroz/Med-discovery-public/tree/main/opioid_withdrawal,DOI-indexed Zenodo preprint,US provisional patent pending
27,MHMDCNS-027,"64/076,326",76743214,05/28/2026,Pharmaceutical compositions and methods of treating Hypersomnolence Disorder with a combination of pitolisant and Nag 26,Hypersomnolence Disorder,pitolisant + Nag 26,Daniel Jerome Broz,Mid tier; ~$500M est. market,$0.4-1.5M,$35-100M,1-3%,$5-18M,Sleep/CNS endpoint risk,https://doi.org/10.5281/zenodo.20609333,https://zenodo.org/records/20609333,https://github.com/danbroz/Med-discovery-public/tree/main/hypersomnolence_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
28,MHMDCNS-028,"64/076,327",76743232,05/28/2026,Pharmaceutical compositions and methods of treating Borderline Personality Disorder with a combination of pimavanserin and perospirone,Borderline Personality Disorder,pimavanserin + perospirone,Daniel Jerome Broz,Mid tier; ~$500M off-label antipsychotics est. market,$0.4-1.5M,$35-100M,1-3%,$5-18M,High psychiatry trial risk,https://doi.org/10.5281/zenodo.20609335,https://zenodo.org/records/20609335,https://github.com/danbroz/Med-discovery-public/tree/main/borderline_personality_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
29,MHMDCNS-029,"64/076,329",76743350,05/28/2026,Pharmaceutical compositions and methods of treating Disruptive Mood Dysregulation Disorder with a combination of agomelatine and suvorexant,Disruptive Mood Dysregulation Disorder,agomelatine + suvorexant,Daniel Jerome Broz,Mid tier; ~$500M pediatric off-label est. market,$0.4-1.5M,$35-100M,1-3%,$5-18M,High pediatric/safety risk,https://doi.org/10.5281/zenodo.20609337,https://zenodo.org/records/20609337,https://github.com/danbroz/Med-discovery-public/tree/main/disruptive_mood_dysregulation_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
30,MHMDCNS-030,"64/076,332",76743450,05/28/2026,Pharmaceutical compositions and methods of treating Specific Phobia with a combination of agomelatine and vilazodone,Specific Phobia,agomelatine + vilazodone,Daniel Jerome Broz,Mid tier; ~$500M est. market,$0.4-1.5M,$35-100M,1-3%,$5-18M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609341,https://zenodo.org/records/20609341,https://github.com/danbroz/Med-discovery-public/tree/main/specific_phobia,DOI-indexed Zenodo preprint,US provisional patent pending
31,MHMDCNS-031,"64/076,333",76743432,05/28/2026,Pharmaceutical compositions and methods of treating Frontotemporal Neurocognitive Disorder with a combination of pitolisant and xanomeline,Frontotemporal Neurocognitive Disorder,pitolisant + xanomeline,Daniel Jerome Broz,Mid tier; ~$500M emerging est. market,$0.4-1.5M,$35-100M,1-3%,$5-18M,High neuro/FDA endpoint risk,https://doi.org/10.5281/zenodo.20609343,https://zenodo.org/records/20609343,https://github.com/danbroz/Med-discovery-public/tree/main/frontotemporal_neurocognitive_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
32,MHMDCNS-032,"64/076,334",76743531,05/28/2026,Pharmaceutical compositions and methods of treating Mild Neurocognitive Disorder with a combination of pitolisant and xanomeline,Mild Neurocognitive Disorder,pitolisant + xanomeline,Daniel Jerome Broz,Mid tier; ~$500M est. market,$0.4-1.5M,$35-100M,1-3%,$5-18M,High neuro/FDA endpoint risk,https://doi.org/10.5281/zenodo.20609345,https://zenodo.org/records/20609345,https://github.com/danbroz/Med-discovery-public/tree/main/mild_neurocognitive_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
33,MHMDCNS-033,"64/076,337",76743412,05/28/2026,Pharmaceutical compositions and methods of treating Delirium with a combination of pitolisant and xanomeline,Delirium,pitolisant + xanomeline,Daniel Jerome Broz,Mid tier; ~$500M off-label antipsychotics est. market,$0.4-1.5M,$35-100M,1-3%,$5-18M,High neuro/FDA endpoint risk,https://doi.org/10.5281/zenodo.20609349,https://zenodo.org/records/20609349,https://github.com/danbroz/Med-discovery-public/tree/main/delirium,DOI-indexed Zenodo preprint,US provisional patent pending
34,MHMDCNS-034,"64/076,338",76743415,05/28/2026,Pharmaceutical compositions and methods of treating Bulimia Nervosa with a combination of vilazodone and crinecerfont,Bulimia Nervosa,vilazodone + crinecerfont,Daniel Jerome Broz,Mid tier; ~$400M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609351,https://zenodo.org/records/20609351,https://github.com/danbroz/Med-discovery-public/tree/main/bulimia_nervosa,DOI-indexed Zenodo preprint,US provisional patent pending
35,MHMDCNS-035,"64/076,339",76743393,05/28/2026,Pharmaceutical compositions and methods of treating Schizophreniform Disorder with a combination of xanomeline and perospirone,Schizophreniform Disorder,xanomeline + perospirone,Daniel Jerome Broz,Mid tier; ~$400M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,High psychiatry trial risk,https://doi.org/10.5281/zenodo.20609355,https://zenodo.org/records/20609355,https://github.com/danbroz/Med-discovery-public/tree/main/schizophreniform_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
36,MHMDCNS-036,"64/076,341",76743651,05/28/2026,Pharmaceutical compositions and methods of treating Premature Ejaculation with a combination of mianserin and sufentanil,Premature Ejaculation,mianserin + sufentanil,Daniel Jerome Broz,Mid tier; ~$400M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,High controlled-substance/FDA safety risk,https://doi.org/10.5281/zenodo.20609357,https://zenodo.org/records/20609357,https://github.com/danbroz/Med-discovery-public/tree/main/premature_ejaculation,DOI-indexed Zenodo preprint,US provisional patent pending
37,MHMDCNS-037,"64/076,941",76769119,05/28/2026,Pharmaceutical compositions and methods of treating Circadian Rhythm Sleep Wake Disorder with a combination of agomelatine and suvorexant,Circadian Rhythm Sleep Wake Disorder,agomelatine + suvorexant,Daniel Jerome Broz,Mid tier; ~$400M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,Sleep/CNS endpoint risk,https://doi.org/10.5281/zenodo.20609359,https://zenodo.org/records/20609359,https://github.com/danbroz/Med-discovery-public/tree/main/circadian_rhythm_sleep_wake_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
38,MHMDCNS-038,"64/076,969",76769976,05/28/2026,Pharmaceutical compositions and methods of treating Conduct Disorder with a combination of perospirone and oxymetazoline,Conduct Disorder,perospirone + oxymetazoline,Daniel Jerome Broz,Mid tier; ~$400M pediatric off-label est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,High pediatric/safety risk,https://doi.org/10.5281/zenodo.20609361,https://zenodo.org/records/20609361,https://github.com/danbroz/Med-discovery-public/tree/main/conduct_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
39,MHMDCNS-039,"64/076,974",76769916,05/28/2026,Pharmaceutical compositions and methods of treating Oppositional Defiant Disorder with a combination of perospirone and oxymetazoline,Oppositional Defiant Disorder,perospirone + oxymetazoline,Daniel Jerome Broz,Mid tier; ~$400M pediatric off-label est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,High pediatric/safety risk,https://doi.org/10.5281/zenodo.20609363,https://zenodo.org/records/20609363,https://github.com/danbroz/Med-discovery-public/tree/main/oppositional_defiant_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
40,MHMDCNS-040,"64/076,977",76770105,05/28/2026,Pharmaceutical compositions and methods of treating Multiple Etiologies Neurocognitive Disorder with a combination of pitolisant and xanomeline,Multiple Etiologies Neurocognitive Disorder,pitolisant + xanomeline,Daniel Jerome Broz,Mid tier; ~$400M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,High neuro/FDA endpoint risk,https://doi.org/10.5281/zenodo.20609365,https://zenodo.org/records/20609365,https://github.com/danbroz/Med-discovery-public/tree/main/multiple_etiologies_neurocognitive_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
41,MHMDCNS-041,"64/076,981",76770354,05/28/2026,Pharmaceutical compositions and methods of treating Traumatic Brain Injury Neurocognitive Disorder with a combination of pitolisant and xanomeline,Traumatic Brain Injury Neurocognitive Disorder,pitolisant + xanomeline,Daniel Jerome Broz,Mid tier; ~$400M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,High neuro/FDA endpoint risk,https://doi.org/10.5281/zenodo.20609369,https://zenodo.org/records/20609369,https://github.com/danbroz/Med-discovery-public/tree/main/traumatic_brain_injury_neurocognitive_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
42,MHMDCNS-042,"64/076,989",76770711,05/28/2026,Pharmaceutical compositions and methods of treating Alcohol Withdrawal with a combination of delta-9-tetrahydrocannabinol and betaxolol,Alcohol Withdrawal,delta-9-tetrahydrocannabinol + betaxolol,Daniel Jerome Broz,Mid tier; ~$400M estimated annual market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,High controlled-substance/FDA safety risk,https://doi.org/10.5281/zenodo.20609371,https://zenodo.org/records/20609371,https://github.com/danbroz/Med-discovery-public/tree/main/alcohol_withdrawal,DOI-indexed Zenodo preprint,US provisional patent pending
43,MHMDCNS-043,"64/076,997",76770516,05/28/2026,Pharmaceutical compositions and methods of treating Separation Anxiety Disorder with a combination of agomelatine and vilazodone,Separation Anxiety Disorder,agomelatine + vilazodone,Daniel Jerome Broz,Mid tier; ~$400M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609375,https://zenodo.org/records/20609375,https://github.com/danbroz/Med-discovery-public/tree/main/separation_anxiety_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
44,MHMDCNS-044,"64/077,002",76770574,05/28/2026,Pharmaceutical compositions and methods of treating Anorexia Nervosa with a combination of mianserin and delta-9-tetrahydrocannabinol,Anorexia Nervosa,mianserin + delta-9-tetrahydrocannabinol,Daniel Jerome Broz,Mid tier; ~$300M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,High controlled-substance/FDA safety risk,https://doi.org/10.5281/zenodo.20609377,https://zenodo.org/records/20609377,https://github.com/danbroz/Med-discovery-public/tree/main/anorexia_nervosa,DOI-indexed Zenodo preprint,US provisional patent pending
45,MHMDCNS-045,"64/077,016",76770754,05/28/2026,Pharmaceutical compositions and methods of treating Acute Stress Disorder with a combination of pimavanserin and agomelatine,Acute Stress Disorder,pimavanserin + agomelatine,Daniel Jerome Broz,Mid tier; ~$300M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609379,https://zenodo.org/records/20609379,https://github.com/danbroz/Med-discovery-public/tree/main/acute_stress_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
46,MHMDCNS-046,"64/077,023",76770878,05/28/2026,Pharmaceutical compositions and methods of treating Agoraphobia with a combination of vilazodone and agomelatine,Agoraphobia,vilazodone + agomelatine,Daniel Jerome Broz,Mid tier; ~$300M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,Standard CNS/FDA risk,https://doi.org/10.5281/zenodo.20609381,https://zenodo.org/records/20609381,https://github.com/danbroz/Med-discovery-public/tree/main/agoraphobia,DOI-indexed Zenodo preprint,US provisional patent pending
47,MHMDCNS-047,"64/077,037",76770897,05/28/2026,Pharmaceutical compositions and methods of treating Cyclothymic Disorder with a combination of pimavanserin and perospirone,Cyclothymic Disorder,pimavanserin + perospirone,Daniel Jerome Broz,Mid tier; ~$300M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,High psychiatry trial risk,https://doi.org/10.5281/zenodo.20609383,https://zenodo.org/records/20609383,https://github.com/danbroz/Med-discovery-public/tree/main/cyclothymic_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
48,MHMDCNS-048,"64/077,042",76771414,05/28/2026,Pharmaceutical compositions and methods of treating Delusional Disorder with a combination of xanomeline and perospirone,Delusional Disorder,xanomeline + perospirone,Daniel Jerome Broz,Mid tier; ~$300M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,High psychiatry trial risk,https://doi.org/10.5281/zenodo.20609385,https://zenodo.org/records/20609385,https://github.com/danbroz/Med-discovery-public/tree/main/delusional_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
49,MHMDCNS-049,"64/077,046",76771516,05/28/2026,Pharmaceutical compositions and methods of treating Central Sleep Apnea with a combination of agomelatine and suvorexant,Central Sleep Apnea,agomelatine + suvorexant,Daniel Jerome Broz,Mid tier; ~$300M Rx adjunct est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,Sleep/CNS endpoint risk,https://doi.org/10.5281/zenodo.20609387,https://zenodo.org/records/20609387,https://github.com/danbroz/Med-discovery-public/tree/main/central_sleep_apnea,DOI-indexed Zenodo preprint,US provisional patent pending
50,MHMDCNS-050,"64/077,051",76771890,05/28/2026,Pharmaceutical compositions and methods of treating Male Hypoactive Sexual Desire Disorder with a combination of mianserin and sufentanil,Male Hypoactive Sexual Desire Disorder,mianserin + sufentanil,Daniel Jerome Broz,Mid tier; ~$300M est. market,$0.25-1.0M,$20-75M,0.75-2.5%,$2-12M,High controlled-substance/FDA safety risk,https://doi.org/10.5281/zenodo.20609389,https://zenodo.org/records/20609389,https://github.com/danbroz/Med-discovery-public/tree/main/male_hypoactive_sexual_desire_disorder,DOI-indexed Zenodo preprint,US provisional patent pending
